Model,Precision,Recall,mIoU,Speed MAE,FPS,RAM,Acc Crisp,Acc Mamdani,Acc Sugeno
YOLO Native,0.135,0.027439024390243903,0.3230520998913872,140.45407407407407,29.237435897435898,740.8674358974359,0.5,0.24074074074074073,0.24074074074074073
PSO Tracking,0.041137633316404264,0.041158536585365856,0.32542019665317196,73.19975308641976,37.242820512820515,646.3548717948718,0.345679012345679,0.2962962962962963,0.2962962962962963
GWO Tracking,0.05124056094929881,0.048272357723577235,0.3387113105427529,67.12473684210526,42.53564102564102,356.27410256410263,0.42105263157894735,0.4,0.4
