,YOLO Native,PSO Tracking
Precision,0.135,0.041137633316404264
Recall,0.027439024390243903,0.041158536585365856
F1-Score,0.04560810810810811,0.04114808229616459
mIoU,0.3230520998913872,0.32542019665317196
Speed MAE,140.45407407407407,73.19975308641976
FPS,29.237435897435898,37.242820512820515
RAM (MB),740.8674358974359,646.3548717948718
